sample_id,condition,replicate,ground_truth,baseline_prediction,selected_alpha,selected_score,post_prediction,baseline_correct,post_correct,repair,break_case,hook_calls,score_alpha_0,score_alpha_1p5,score_alpha_2,score_alpha_4,baseline_expected_numeral,baseline_entropy,baseline_top1_prob,baseline_conditional_margin,post_expected_numeral,feature__baseline_best_numeral,feature__baseline_entropy,feature__baseline_entropy_norm,feature__baseline_expected_numeral,feature__baseline_top1_prob,feature__baseline_conditional_margin,feature__baseline_vocab_numeral_mass,feature__baseline_numprob_0,feature__baseline_numprob_1,feature__baseline_numprob_2,feature__baseline_numprob_3,feature__baseline_numprob_4,feature__baseline_numprob_5,feature__baseline_numprob_6,feature__baseline_numprob_7,feature__baseline_numprob_8,feature__baseline_numprob_9,feature__baseline_numprob_10,feature__baseline_numprob_11,feature__baseline_numprob_12,feature__baseline_numprob_13,feature__baseline_numprob_14,feature__baseline_numprob_15,feature__geom_top2_prob,feature__geom_expected_minus_pred,feature__geom_p_down1,feature__geom_p_up1,feature__geom_p_down2,feature__geom_p_up2,feature__geom_local_asymmetry,feature__geom_up_mass,feature__geom_down_mass,feature__geom_signed_tail_mass,feature__geom_up_distance_mass,feature__geom_down_distance_mass,feature__geom_signed_distance_mass,feature__geom_up_boundary_gap,feature__geom_down_boundary_gap,feature__geom_up_down_logratio
pccv3_n01_dense_r10,dense,10,1,1,1.0,0.049143627489612485,1,True,True,False,False,0,0.0026015508687220537,0.009583236526622858,0.02344823603376649,0.049143627489612485,1.0000059205359757,0.0001593754746221696,0.9999883555874777,0.9999813933638262,1.0000059205359757,1.0,0.0001593754746221696,5.748255171918223e-05,1.0000059205359757,0.9999883555874777,0.9999813933638262,0.9971629265881656,6.962223651539639e-06,0.9999883555874777,2.5612589462390012e-06,6.475876767183599e-07,2.535989779694656e-07,2.699547068357285e-07,3.256275333588285e-07,1.538155554102696e-07,3.653439671067006e-08,4.993659958203898e-08,7.734331844342256e-08,2.1024093707747685e-07,4.40688944567566e-08,1.1142361462008371e-08,1.2625949654186207e-08,2.84530167673112e-08,6.962223651539639e-06,5.920535975700858e-06,6.962223651539639e-06,2.5612589462390012e-06,0.0,6.475876767183599e-07,-4.4009647053006375e-06,4.682188870685525e-06,6.962223651539639e-06,-2.280034780854114e-06,1.2882759627394566e-05,6.962223651539639e-06,5.9205359758549265e-06,0.9999857943285314,0.9999813933638262,-0.9999997531993433
pccv3_n01_dense_r11,dense,11,1,1,1.0,0.06330333708029931,1,True,True,False,False,0,0.004831131522306492,0.012523493582710684,0.03001982650487442,0.06330333708029931,1.0000108941029162,0.00021348468065072454,0.9999840756598398,0.9999751360259762,1.0000108941029162,1.0,0.00021348468065072454,7.699832252014108e-05,1.0000108941029162,0.9999840756598398,0.9999751360259762,0.9967478690879972,8.9396338636461e-06,0.9999840756598398,4.222784030937346e-06,6.893505431127591e-07,2.3823317298368454e-07,3.4662722136851386e-07,3.689827564568772e-07,2.2379935469637566e-07,5.658533838279472e-08,6.411958865472675e-08,1.6373510564404146e-07,4.181122396874439e-07,8.23311815402321e-08,2.0816582662759486e-08,2.5109591697392838e-08,6.411958865472675e-08,8.9396338636461e-06,1.089410291621462e-05,8.9396338636461e-06,4.222784030937346e-06,0.0,6.893505431127591e-07,-4.716849832708754e-06,6.984706296479673e-06,8.9396338636461e-06,-1.954927567166426e-06,1.9833736779766755e-05,8.9396338636461e-06,1.0894102916120656e-05,0.9999798528758089,0.9999751360259762,-0.7499998750508311
pccv3_n01_dense_r12,dense,12,1,1,1.0,0.038784775771662616,1,True,True,False,False,0,-0.0009189267346435895,0.008825103507122897,0.0194102886090623,0.038784775771662616,1.0000045571073073,0.0001325108008392901,0.9999904297062072,0.9999842855526558,1.0000045571073073,1.0,0.0001325108008392901,4.779316880876723e-05,1.0000045571073073,0.9999904297062072,0.9999842855526558,0.9979115860204919,6.144153551410863e-06,0.9999904297062072,1.6536764943936819e-06,5.043428358125835e-07,1.9750349227834075e-07,2.1024137314721995e-07,2.5359950396998057e-07,1.6373614604106234e-07,3.0288141510102526e-08,4.4068985861940344e-08,7.734347886451595e-08,2.1024137314721995e-07,3.889074352320668e-08,8.151942697236925e-09,1.0467301618634234e-08,2.3588428325845376e-08,6.144153551410863e-06,4.557107307290309e-06,6.144153551410863e-06,1.6536764943936819e-06,0.0,5.043428358125835e-07,-4.490477057017181e-06,3.4261402411915708e-06,6.144153551410863e-06,-2.718013310219292e-06,1.0701260858984309e-05,6.144153551410863e-06,4.557107307573446e-06,0.9999887760297128,0.9999842855526558,-1.3124995580433214
pccv3_n01_dense_r13,dense,13,1,1,1.0,0.036533152508514105,1,True,True,False,False,0,-0.00026258449019118946,0.007729366079052098,0.019031848726440696,0.036533152508514105,1.0000041381755445,0.00016276003489299476,0.9999879956767247,0.9999801064466035,1.0000041381755445,1.0,0.00016276003489299476,5.870327379875955e-05,1.0000041381755445,0.9999879956767247,0.9999801064466035,0.9971173893545782,7.889230121194573e-06,0.9999879956767247,2.1233574814038163e-06,5.714939131666331e-07,2.6995460967499526e-07,2.5359888669540365e-07,2.8736518615836606e-07,1.444962900099244e-07,3.2241480330768396e-08,3.8890648861084404e-08,8.764143010574745e-08,1.9750301154441685e-07,4.993658160911054e-08,1.114235745170597e-08,1.5229796919112297e-08,3.2241480330768396e-08,7.889230121194573e-06,4.138175544454725e-06,7.889230121194573e-06,2.1233574814038163e-06,0.0,5.714939131666331e-07,-5.765872639790757e-06,4.115093154261853e-06,7.889230121194573e-06,-3.77413696693272e-06,1.2027405665694918e-05,7.889230121194573e-06,4.138175544500345e-06,0.9999858723192433,0.9999801064466035,-1.3124996558029256
pccv3_n01_dense_r14,dense,14,1,1,1.0,0.04362566917031606,1,True,True,False,False,0,0.000656370536985959,0.009320136368174905,0.02193345268466468,0.04362566917031606,1.0000064834418139,0.00019057560502508804,0.999985832136145,0.9999768924865788,1.0000064834418139,1.0,0.00019057560502508804,6.873562007102709e-05,1.0000064834418139,0.999985832136145,0.9999768924865788,0.9972054978054778,8.939649566151208e-06,0.999985832136145,2.7264390759914155e-06,7.338111223356594e-07,3.05897986519396e-07,2.873645644246611e-07,3.4662783022071047e-07,1.975025842335072e-07,4.691097558061235e-08,5.6585437775183567e-08,1.1979137271009908e-07,2.699540256102313e-07,6.411970128105842e-08,1.344021952923668e-08,1.8370601990265714e-08,4.139879064711199e-08,8.939649566151208e-06,6.483441813864843e-06,8.939649566151208e-06,2.7264390759914155e-06,0.0,7.338111223356594e-07,-6.213210490159793e-06,5.2282142888491475e-06,8.939649566151208e-06,-3.711435277302061e-06,1.542309137955863e-05,8.939649566151208e-06,6.48344181340742e-06,0.999983105697069,0.9999768924865788,-1.1874997450824885
pccv3_n01_dense_r15,dense,15,1,1,1.0,0.034847486210421275,1,True,True,False,False,0,-0.001289929103341067,0.007831471921828492,0.01782553256679588,0.034847486210421275,1.0000038924424621,9.51486248134935e-05,0.9999933298812868,0.9999891070581766,1.0000038924424621,1.0,9.51486248134935e-05,3.431761229145791e-05,1.0000038924424621,0.9999933298812868,0.9999891070581766,0.9977932965209204,4.222823110138201e-06,0.9999933298812868,1.0676968883222851e-06,3.466304291846623e-07,1.742967256796682e-07,1.85537898693533e-07,2.3823537768133168e-07,1.0571630801224107e-07,2.2159341966938567e-08,3.028822935185641e-08,6.023533659933902e-08,1.4449706079194648e-07,3.432106023618933e-08,7.658063666964834e-09,1.0467331975932065e-08,1.9555550649136122e-08,4.222823110138201e-06,3.892442462127832e-06,4.222823110138201e-06,1.0676968883222851e-06,0.0,3.466304291846623e-07,-3.1551262218159157e-06,2.447295602812024e-06,4.222823110138201e-06,-1.7755275073261769e-06,8.115265572258469e-06,4.222823110138201e-06,3.892442462120268e-06,0.9999922621843984,0.9999891070581766,-1.3749993002134089
pccv3_n01_dense_r16,dense,16,1,1,1.0,0.03153954019434477,1,True,True,False,False,0,-0.001642918347086006,0.007060394674328967,0.01676370234431867,0.03153954019434477,1.000002582025135,0.00011154485441217213,0.9999919938761934,0.999986571671234,1.000002582025135,1.0,0.00011154485441217213,4.0231302074280535e-05,1.000002582025135,0.9999919938761934,0.999986571671234,0.9975392812456816,5.422204959442387e-06,0.9999919938761934,1.2878865632702112e-06,3.689856781887002e-07,1.637364021546787e-07,1.4449686774184963e-07,1.7429649281680173e-07,9.931114801785034e-08,2.2159312361747364e-08,3.028818888635782e-08,6.023525612408575e-08,1.5381611504218573e-07,3.653452963490118e-08,8.151955448383053e-09,1.1861025189747413e-08,2.2159312361747364e-08,5.422204959442387e-06,2.5820251350339163e-06,5.422204959442387e-06,1.2878865632702112e-06,0.0,3.689856781887002e-07,-4.134318396172176e-06,2.5839188472392477e-06,5.422204959442387e-06,-2.8382861122031393e-06,8.00423009432757e-06,5.422204959442387e-06,2.5820251348851832e-06,0.9999907059896301,0.999986571671234,-1.4374994079612007
pccv3_n01_dense_r17,dense,17,1,1,1.0,0.047132123191509,1,True,True,False,False,0,0.002999231930444407,0.008681999526162656,0.022711391090442297,0.047132123191509,1.0000054015649833,0.00012873511769253437,0.9999907794368494,0.999985357238475,1.0000054015649833,1.0,0.00012873511769253437,4.64313789708191e-05,1.0000054015649833,0.9999907794368494,0.999985357238475,0.996806097107604,5.422198374450633e-06,0.9999907794368494,1.994715307913602e-06,5.368703418791557e-07,2.3823477007118507e-07,2.2380085502123613e-07,2.699553611728944e-07,1.357420802402818e-07,2.5109760029176954e-08,3.432097270164831e-08,7.265749977955262e-08,1.7429628114258865e-07,4.4069001274362574e-08,9.237364487482635e-09,1.2625980257942707e-08,2.6729200415816016e-08,5.422198374450633e-06,5.401564983298357e-06,5.422198374450633e-06,1.994715307913602e-06,0.0,5.368703418791557e-07,-3.427483066537031e-06,3.798364776386925e-06,5.422198374450633e-06,-1.623833598063708e-06,1.0823763357578321e-05,5.422198374450633e-06,5.401564983127688e-06,0.9999887847215415,0.999985357238475,-0.9999996831024761
pccv3_n01_dense_r18,dense,18,1,1,1.0,0.04352540712699028,1,True,True,False,False,0,0.00047013176554751984,0.00924182777737185,0.021313721911130835,0.04352540712699028,1.0000027849540167,0.00016192060111899645,0.9999880048068738,0.9999801155766805,1.0000027849540167,1.0,0.00016192060111899645,5.8400512063034034e-05,1.0000027849540167,0.9999880048068738,0.9999801155766805,0.9976382118841629,7.889230193225286e-06,0.9999880048068738,2.4060792673287326e-06,5.368688522488769e-07,2.2380023405094952e-07,2.1024086332817523e-07,2.2380023405094952e-07,1.197916329809956e-07,2.8453006786428576e-08,3.432087747277059e-08,6.825521501904168e-08,1.6373574899359108e-07,3.889064921616609e-08,9.833096028399614e-09,1.3440248730821962e-08,2.8453006786428576e-08,7.889230193225286e-06,2.7849540167323994e-06,7.889230193225286e-06,2.4060792673287326e-06,0.0,5.368688522488769e-07,-5.483150925896553e-06,4.105962933022327e-06,7.889230193225286e-06,-3.7832672602029585e-06,1.0674184210056514e-05,7.889230193225286e-06,2.784954016831228e-06,0.9999855987276064,0.9999801155766805,-1.1874997111412529
pccv3_n01_dense_r19,dense,19,1,1,1.0,0.029121222008392282,1,True,True,False,False,0,-0.002219725707137764,0.006743851963968365,0.015963852531486973,0.029121222008392282,1.0000031223540462,0.00012458497237029036,0.9999909858068742,0.999984841649906,1.0000031223540462,1.0,0.00012458497237029036,4.493453045197661e-05,1.0000031223540462,0.9999909858068742,0.999984841649906,0.9974887283610938,6.144156968211451e-06,0.9999909858068742,1.370946728294112e-06,3.927828138960468e-07,1.8553746377599117e-07,1.7429631711244815e-07,2.2380090120744998e-07,1.197919900841371e-07,2.6729205931972627e-08,3.43209797845336e-08,7.265751477402092e-08,1.7429631711244815e-07,4.406901036896731e-08,1.0467307439563353e-08,1.5229842458733907e-08,2.510976521112653e-08,6.144156968211451e-06,3.122354046203313e-06,6.144156968211451e-06,1.370946728294112e-06,0.0,3.927828138960468e-07,-4.773210239917339e-06,2.8700361574515514e-06,6.144156968211451e-06,-3.2741208107598995e-06,9.266511014549504e-06,6.144156968211451e-06,3.122354046338053e-06,0.9999896148601459,0.999984841649906,-1.4999994333335664
pccv3_n01_dense_r20,dense,20,1,1,1.0,0.06091337294498325,1,True,True,False,False,0,0.012814575555599145,0.0068301199889543975,0.03174476251611646,0.06091337294498325,1.0000201274796081,0.00038143135222873923,0.9999701610649017,0.9999554223054884,1.0000201274796081,1.0,0.00038143135222873923,0.0001375722800749934,1.0000201274796081,0.9999701610649017,0.9999554223054884,0.9913073934668795,1.4738759413277697e-05,0.9999701610649017,1.0129791327425281e-05,1.4593348045630535e-06,6.083412540172959e-07,6.89340950926432e-07,7.33799622566355e-07,3.058931927023379e-07,9.930897975893715e-08,1.0571385867417444e-07,2.1023711179945768e-07,4.7377664500331047e-07,1.0571385867417444e-07,3.432026505254261e-08,3.8889955253132125e-08,1.0571385867417444e-07,1.4738759413277697e-05,2.0127479608111898e-05,1.4738759413277697e-05,1.0129791327425281e-05,0.0,1.4593348045630535e-06,-4.608968085852415e-06,1.5100175685090658e-05,1.4738759413277697e-05,3.6141627181296093e-07,3.486623902106458e-05,1.4738759413277697e-05,2.012747960778688e-05,0.9999600312735742,0.9999554223054884,-0.37499996912960143
pccv3_n01_dense_r21,dense,21,1,1,1.0,0.03288519447452025,1,True,True,False,False,0,-0.0019329225833450633,0.007702625030029066,0.017231605389822713,0.03288519447452025,1.0000028462093324,0.0001404464299670812,0.9999897266550632,0.999982764421866,1.0000028462093324,1.0,0.0001404464299670812,5.0655342006016784e-05,1.0000028462093324,0.9999897266550632,0.999982764421866,0.9978013026215384,6.962233197329967e-06,0.9999897266550632,1.653675331763404e-06,5.043424812303824e-07,1.9750335342195566e-07,1.9750335342195566e-07,2.535993256748529e-07,1.2751774910145282e-07,2.672917227554119e-08,3.653444680238044e-08,6.02351195563469e-08,1.742960976449465e-07,3.889071618076328e-08,7.658036073044953e-09,1.0467294259515427e-08,2.2159262121283916e-08,6.962233197329967e-06,2.846209332441063e-06,6.962233197329967e-06,1.653675331763404e-06,0.0,5.043424812303824e-07,-5.308557865566563e-06,3.311111739527826e-06,6.962233197329967e-06,-3.651121457802141e-06,9.80844252990187e-06,6.962233197329967e-06,2.8462093325719026e-06,0.9999880729797315,0.999982764421866,-1.4374995389186251
pccv3_n01_dense_r22,dense,22,1,1,1.0,0.03337625816273534,1,True,True,False,False,0,-0.0005541236710953149,0.0070705053243787725,0.018336080073648574,0.03337625816273534,1.0000056637096786,0.0001637125920788872,0.999987957499815,0.999980068269995,1.0000056637096786,1.0,0.0001637125920788872,5.904683618082208e-05,1.0000056637096786,0.999987957499815,0.999980068269995,0.99668147380061,7.88922982000453e-06,0.999987957499815,1.9947096789006987e-06,5.714938913484997e-07,2.3823409778146563e-07,2.5359887701366566e-07,3.2562740372901536e-07,1.5381549417748162e-07,3.889064737634179e-08,5.3157212390795113e-08,1.0571574006011832e-07,2.873651751875196e-07,5.658555804152118e-08,1.4307069623604237e-08,1.837064103502896e-08,4.139887863584422e-08,7.88922982000453e-06,5.663709678582762e-06,7.88922982000453e-06,1.9947096789006987e-06,0.0,5.714938913484997e-07,-5.894520141103832e-06,4.153270365301601e-06,7.88922982000453e-06,-3.7359594547029298e-06,1.3552939498180915e-05,7.88922982000453e-06,5.663709678176385e-06,0.9999859627901361,0.999980068269995,-1.374999625429115
