sample_id,baseline_best_numeral,baseline_entropy,baseline_entropy_norm,baseline_expected_numeral,baseline_top1_prob,baseline_conditional_margin,baseline_vocab_numeral_mass,baseline_numprob_0,baseline_numprob_1,baseline_numprob_2,baseline_numprob_3,baseline_numprob_4,baseline_numprob_5,baseline_numprob_6,baseline_numprob_7,baseline_numprob_8,baseline_numprob_9,baseline_numprob_10,baseline_numprob_11,baseline_numprob_12,baseline_numprob_13,baseline_numprob_14,baseline_numprob_15,geom_top2_prob,geom_expected_minus_pred,geom_p_down1,geom_p_up1,geom_p_down2,geom_p_up2,geom_local_asymmetry,geom_up_mass,geom_down_mass,geom_signed_tail_mass,geom_up_distance_mass,geom_down_distance_mass,geom_signed_distance_mass,geom_up_boundary_gap,geom_down_boundary_gap,geom_up_down_logratio
pccv2_n01_dense_r10,1.0,0.0003254890319911,0.0001173953530793,1.000022943815256,0.9999750310657164,0.9999649012250552,0.9947042280890664,1.012984066098936e-05,0.9999750310657164,1.012984066098936e-05,1.5534613787104312e-06,6.083442167281027e-07,6.083442167281027e-07,5.714865038814118e-07,2.6995110977647696e-07,9.930946340818105e-08,8.7640293855058e-08,1.855345035470975e-07,4.181084579717165e-07,1.0571437351611465e-07,3.8890144652897376e-08,4.99359341929831e-08,1.1253236483587696e-07,1.012984066098936e-05,2.2943815255915823e-05,1.012984066098936e-05,1.012984066098936e-05,0.0,1.5534613787104312e-06,0.0,1.4839093622793811e-05,1.012984066098936e-05,4.709252961804451e-06,3.307365591663472e-05,1.012984066098936e-05,2.294381525564536e-05,0.9999649012250554,0.9999649012250554,0.0
pccv2_n01_dense_r11,1.0,0.000269842190741,9.732499760117814e-05,1.0000059465823687,0.9999791347843244,0.9999643958926456,0.9958041066766334,1.4738891678715972e-05,0.9999791347843244,2.7264208158109985e-06,8.851392449102055e-07,3.9277815897610186e-07,3.9277815897610186e-07,5.714888491597712e-07,2.5359663955598044e-07,5.6585058797229566e-08,7.734260526760348e-08,1.444950096284763e-07,4.181101738140185e-07,8.764065351514304e-08,2.3588161893840263e-08,3.224119463905082e-08,6.41192718427761e-08,1.4738891678715972e-05,5.946582368743236e-06,1.4738891678715972e-05,2.7264208158109985e-06,0.0,8.851392449102055e-07,-1.2012470862904973e-05,6.126323996787299e-06,1.4738891678715972e-05,-8.612567681928673e-06,2.068547404761595e-05,1.4738891678715972e-05,5.946582368899978e-06,0.9999764083635087,0.9999643958926457,-1.6874997010665345
pccv2_n01_dense_r12,1.0,0.0001687136906846,6.0850601220222446e-05,1.000006152709827,0.9999875878530587,0.999979698626155,0.9972812339728668,7.8892269037412e-06,0.9999875878530587,2.260301351440319e-06,6.083518557678018e-07,2.535987832705345e-07,2.699544995797951e-07,3.689840524162496e-07,1.742957248562737e-07,4.1398863332698744e-08,5.315719274116736e-08,9.93107104471314e-08,2.699544995797951e-07,5.315719274116736e-08,1.4307064334978672e-08,1.725761378126334e-08,3.8890633000367016e-08,7.8892269037412e-06,6.152709826956482e-06,7.8892269037412e-06,2.260301351440319e-06,0.0,6.083518557678018e-07,-5.6289255523008805e-06,4.522920037289543e-06,7.8892269037412e-06,-3.366306866451657e-06,1.4041936730740105e-05,7.8892269037412e-06,6.1527098269989045e-06,0.9999853275517073,0.999979698626155,-1.2499996843363388
pccv2_n01_dense_r13,1.0,0.0002472364492324,8.917169980867256e-05,1.0000092756890169,0.9999812549612408,0.9999697762765226,0.9966274159501404,1.1478684718287189e-05,0.9999812549612408,3.9669272903866856e-06,8.85141121601158e-07,3.689817156511589e-07,4.181110603000543e-07,5.714900608425192e-07,2.5359717723694055e-07,6.825475430135028e-08,8.23309493050855e-08,1.3574078735622838e-07,3.689817156511589e-07,6.411940778981271e-08,1.6211925148815955e-08,1.9555314515850545e-08,4.6910760857830035e-08,1.1478684718287189e-05,9.275689016874367e-06,1.1478684718287189e-05,3.9669272903866856e-06,0.0,8.85141121601158e-07,-7.511757427900503e-06,7.266354040944649e-06,1.1478684718287189e-05,-4.21233067734254e-06,2.0754373734834128e-05,1.1478684718287189e-05,9.27568901654694e-06,0.9999772880339504,0.9999697762765225,-1.0624998350337456
pccv2_n01_dense_r14,1.0,0.0001490538523583,5.375981340571146e-05,1.0000079728635964,0.99998926235035,0.9999831182039712,0.997204878588696,6.144146378928585e-06,0.99998926235035,2.2603051363557883e-06,6.475882639336595e-07,2.873655501606378e-07,2.873655501606378e-07,3.68984670286715e-07,1.742960167176155e-07,4.13989326558437e-08,5.3157281753847456e-08,9.931087674471115e-08,2.3823440864509922e-07,6.023509158860966e-08,1.4307088292416511e-08,1.9555471105798313e-08,4.13989326558437e-08,6.144146378928585e-06,7.972863596439339e-06,6.144146378928585e-06,2.2603051363557883e-06,0.0,6.475882639336595e-07,-3.883841242572796e-06,4.593503271057223e-06,6.144146378928585e-06,-1.550643107871362e-06,1.4117009975402812e-05,6.144146378928585e-06,7.972863596474227e-06,0.9999870020452136,0.9999831182039711,-0.9999997203384814
pccv2_n01_dense_r15,1.0,0.0002931353026129,0.0001057262118472,1.000016064651932,0.9999776120221892,0.9999661333792876,0.994874637294762,1.1478642901354504e-05,0.9999776120221892,6.962148851564284e-06,1.1365395570543493e-06,4.181095371183927e-07,4.737801751981934e-07,5.714879789000328e-07,2.873622022217273e-07,7.265654305930335e-08,9.329284797681282e-08,1.7429398609001945e-07,4.737801751981934e-07,1.1253265528426457e-07,2.8452711076908322e-08,3.2241145542356024e-08,7.265654305930335e-08,1.1478642901354504e-05,1.6064651932046203e-05,1.1478642901354504e-05,6.962148851564284e-06,0.0,1.1365395570543493e-06,-4.51649404979022e-06,1.090933490934414e-05,1.1478642901354504e-05,-5.693079920103634e-07,2.754329483360389e-05,1.1478642901354504e-05,1.6064651932249383e-05,0.9999706498733376,0.9999661333792877,-0.49999994348450405
pccv2_n01_dense_r16,1.0,0.0001226781898871,4.42468040438598e-05,1.0000097197683775,0.9999914156804988,0.999987192865472,0.9973316572119416,4.22281502675296e-06,0.9999914156804988,1.9947165770502515e-06,6.475896584199657e-07,2.873661689601852e-07,3.0589969453857045e-07,3.927829827445408e-07,1.7429639203851317e-07,4.139902180237074e-08,5.658575372696153e-08,9.329413578824052e-08,2.3823492164794227e-07,5.658575372696153e-08,1.430711910063188e-08,1.9555513215635977e-08,3.8890781868846964e-08,4.22281502675296e-06,9.719768377491889e-06,4.22281502675296e-06,1.9947165770502515e-06,0.0,6.475896584199657e-07,-2.228098449702709e-06,4.361504474629618e-06,4.22281502675296e-06,1.3868944787665749e-07,1.3942583404055962e-05,4.22281502675296e-06,9.719768377303002e-06,0.9999894209639217,0.999987192865472,-0.7499997354846005
pccv2_n01_dense_r17,1.0,0.0002804671269375,0.0001011571332912,1.0000065646812268,0.9999782779586152,0.9999635390795654,0.9963960720288636,1.473887904979115e-05,0.9999782779586152,3.72657222156424e-06,7.811319726808286e-07,3.256242517671877e-07,4.450755818817207e-07,5.043367071070894e-07,2.873623935909696e-07,6.825455110295853e-08,8.233070420103875e-08,1.6373415634170194e-07,4.181098155589972e-07,8.233070420103875e-08,1.95552562985366e-08,2.2159008424012057e-08,5.6585010312684783e-08,1.473887904979115e-05,6.564681226839397e-06,1.473887904979115e-05,3.72657222156424e-06,0.0,7.811319726808286e-07,-1.101230682822691e-05,6.983162335033004e-06,1.473887904979115e-05,-7.755716714758146e-06,2.1303560276513524e-05,1.473887904979115e-05,6.5646812267223746e-06,0.9999745513863936,0.9999635390795654,-1.374999799504683
pccv2_n01_dense_r18,1.0,0.000134569934991,4.85358444660976e-05,1.0000054157154237,0.9999902888441758,0.99998414469149,0.9973188930354356,6.14415268592463e-06,0.9999902888441758,1.7603292171588277e-06,4.450809277497237e-07,1.9750346445733139e-07,2.2380074522516397e-07,2.699552287335508e-07,1.5381585277868506e-07,3.2241554266769224e-08,4.139897515204877e-08,9.329403066011717e-08,2.3823465319387467e-07,4.9936696123428776e-08,1.186100496615779e-08,1.5229831844006132e-08,3.43209558638753e-08,6.14415268592463e-06,5.415715423673362e-06,6.14415268592463e-06,1.7603292171588277e-06,0.0,4.450809277497237e-07,-4.383823468765803e-06,3.5670031381735605e-06,6.14415268592463e-06,-2.5771495477510697e-06,1.155986810925231e-05,6.14415268592463e-06,5.41571542332768e-06,0.9999885285149587,0.9999841446914899,-1.2499995946809632
pccv2_n01_dense_r19,1.0,0.0001560932724371,5.629874751531054e-05,1.0000034791442594,0.9999884840792044,0.99998059484523,0.9973583635516734,7.889233974360382e-06,0.9999884840792044,1.7603260401474656e-06,5.368691095583495e-07,2.1024096409201249e-07,2.2380034131349594e-07,2.699547415230788e-07,1.4449636058311798e-07,3.2241496077776375e-08,3.889066785560176e-08,8.233154449638694e-08,2.2380034131349594e-07,4.691109998761103e-08,1.1142362893726306e-08,1.3440255172438564e-08,3.2241496077776375e-08,7.889233974360382e-06,3.479144259355138e-06,7.889233974360382e-06,1.7603260401474656e-06,0.0,5.368691095583495e-07,-6.128907934212917e-06,3.6266868210923332e-06,7.889233974360382e-06,-4.262547153268049e-06,1.1368378233818984e-05,7.889233974360382e-06,3.4791442594586014e-06,0.9999867237531642,0.99998059484523,-1.4999995586785901
pccv2_n01_distractors_r00,1.0,0.0005341448343923,0.0001926520259235,0.9999827270213232,0.999954057863297,0.9999139944065896,0.9813868066297804,4.00634567075812e-05,0.999954057863297,1.653616346556371e-06,8.314905168974823e-07,3.058882666955996e-07,4.180996886794344e-07,1.3708961015943234e-06,6.475654656762064e-07,1.357370955315363e-07,9.329065049305086e-08,7.265483165722875e-08,2.2379263662589917e-07,4.6909484997356303e-08,1.621148422323466e-08,3.0287039864034415e-08,3.2240386112288954e-08,4.00634567075812e-05,-1.7272978676818873e-05,4.00634567075812e-05,1.653616346556371e-06,0.0,8.314905168974823e-07,-3.8409840361024824e-05,5.878679995604045e-06,4.00634567075812e-05,-3.418477671197715e-05,2.2790478030478164e-05,4.00634567075812e-05,-1.7272978677103032e-05,0.9999524042469505,0.9999139944065895,-3.187499420225392
pccv2_n01_distractors_r01,1.0,0.0002553169264652,9.20861159166148e-05,1.000006544865619,0.9999801939066038,0.9999654549993144,0.9805782340418752,1.473890728933024e-05,0.9999801939066038,1.0029952284343708e-06,6.083473575909225e-07,2.382322482065679e-07,3.92778574984881e-07,1.6536595675304812e-06,7.338069848814929e-07,8.233086194581239e-08,6.411933975434243e-08,6.023454534420466e-08,1.538143000021744e-07,3.6534098525110995e-08,8.151859254786528e-09,1.262584660401444e-08,1.9555293766204444e-08,1.473890728933024e-05,6.544865619018125e-06,1.473890728933024e-05,1.0029952284343708e-06,0.0,6.083473575909225e-07,-1.373591206089587e-05,5.067186106825366e-06,1.473890728933024e-05,-9.671721182504875e-06,2.128377290830453e-05,1.473890728933024e-05,6.54486561897429e-06,0.9999791909113753,0.9999654549993144,-2.6874990708344133
pccv2_n01_distractors_r02,1.0,0.0005779790698518,0.0002084618844532,0.9999894558786852,0.999950808024524,0.999910744698022,0.9869301627707614,4.0063326501824274e-05,0.999950808024524,2.902177637776038e-06,1.9946355755903806e-06,7.811105145709086e-07,5.36848882215485e-07,1.5534237482118709e-06,7.337854208888674e-07,9.329034729954837e-08,9.930705777089192e-08,9.329034729954837e-08,2.1023304295073402e-07,6.411745551366591e-08,1.6211431536104103e-08,2.5108756347350922e-08,2.5108756347350922e-08,4.0063326501824274e-05,-1.0544121314848276e-05,4.0063326501824274e-05,2.902177637776038e-06,0.0,1.9946355755903806e-06,-3.716114886404824e-05,9.128648974318745e-06,4.0063326501824274e-05,-3.093467752750553e-05,2.951920518685332e-05,4.0063326501824274e-05,-1.0544121314970953e-05,0.9999479058468862,0.9999107446980221,-2.6249996803916966
pccv2_n01_distractors_r03,1.0,0.0006933068513284,0.0002500575890564,0.9999915677812724,0.9999389765828504,0.999887534862012,0.9784830077847188,5.1441720838539335e-05,0.9999389765828504,6.083222826442934e-07,9.421879826937584e-07,4.450580894190615e-07,7.811012724527769e-07,5.771601121099682e-06,7.337767387223663e-07,7.733949926287114e-08,3.8888742453831924e-08,3.2239899863644984e-08,9.328924348594683e-08,2.0815643839145182e-08,7.1936940197444445e-09,1.2625326190099935e-08,1.725677485632381e-08,5.1441720838539335e-05,-8.432218727594254e-06,5.1441720838539335e-05,6.083222826442934e-07,0.0,9.421879826937584e-07,-5.083339855589504e-05,9.581696311003546e-06,5.1441720838539335e-05,-4.186002452753579e-05,4.30095021109631e-05,5.1441720838539335e-05,-8.432218727576236e-06,0.9999383682605677,0.9998875348620119,-4.4374983755753465
pccv2_n01_distractors_r04,1.0,0.0020162135937762,0.0007271953382784,0.9998192960866972,0.999790993239738,0.999587567396992,0.979391949675854,0.000203425842746,0.999790993239738,9.42048546057339e-07,9.42048546057339e-07,3.927042595446647e-07,4.449922242157902e-07,1.9943167876533327e-06,3.927042595446647e-07,5.3146742193701456e-08,4.992674386274327e-08,5.6574412574731204e-08,2.2375614228722453e-07,3.652718611239881e-08,1.0465214037007176e-08,1.9551593818301607e-08,2.2154858290199387e-08,0.000203425842746,-0.00018070391330282654,0.000203425842746,9.42048546057339e-07,0.0,9.42048546057339e-07,-0.00020248379419994265,5.580917516249437e-06,0.000203425842746,-0.00019784492522975056,2.272192944288769e-05,0.000203425842746,-0.0001807039133031123,0.9997900511911919,0.999587567396992,-5.374998943399834
pccv2_n01_distractors_r05,1.0,0.007426899198542,0.0026786876607297,0.9991302518149288,0.999079536905114,0.9981684942932556,0.9801693300964214,0.0009110426118583,0.999079536905114,1.5520702283815336e-06,1.2867114127891954e-06,7.331460633925444e-07,6.469991300860099e-07,2.55893119915304e-06,1.369697169140469e-06,2.871041236004656e-07,3.253315935269745e-07,1.85368354334012e-07,3.0562074870516384e-07,8.756181052403218e-08,2.508687873689829e-08,2.8427157832991362e-08,2.8427157832991362e-08,0.0009110426118583,-0.0008697481850712396,0.0009110426118583,1.5520702283815336e-06,0.0,1.2867114127891954e-06,-0.0009094905416299184,9.42048302803632e-06,0.0009110426118583,-0.0009016221288302637,4.129442678666432e-05,0.0009110426118583,-0.0008697481850716356,0.9990779848348856,0.9981684942932557,-6.374999356797074
pccv2_n01_distractors_r06,1.0,0.0005683227083929,0.0002049790882557,0.9999922321326504,0.999951618338951,0.9999115549799836,0.9816579116012836,4.0063358967312776e-05,0.999951618338951,1.994637191951876e-06,1.3708927571062547e-06,6.89328168284672e-07,5.714731234899522e-07,1.7602611436775657e-06,1.0676523527412683e-06,1.637297911565471e-07,1.742894554459227e-07,1.2751288956483646e-07,2.535896613322991e-07,6.411750747152105e-08,1.6211444673107193e-08,3.0286965974668653e-08,3.4319628642283385e-08,4.0063358967312776e-05,-7.76786734957291e-06,4.0063358967312776e-05,1.994637191951876e-06,0.0,1.3708927571062547e-06,-3.80687217753609e-05,8.318302081512774e-06,4.0063358967312776e-05,-3.17450568858e-05,3.229549161781006e-05,4.0063358967312776e-05,-7.767867349502715e-06,0.999949623701759,0.9999115549799836,-2.999999523616282
pccv2_n01_distractors_r07,1.0,0.0006113787595436,0.0002205082761246,0.9999622132126048,0.9999452035553706,0.9998937615141864,0.9738048463918556,5.1442041184269977e-05,0.9999452035553706,5.368458733144709e-07,6.08326070881602e-07,1.855289693765911e-07,3.256134817054308e-07,1.209800850886015e-06,2.1023186464816683e-07,3.43194084786412e-08,3.0286771680936366e-08,3.43194084786412e-08,1.1978650568768153e-07,2.08157734654976e-08,6.348452224369658e-09,1.2625404812456988e-08,1.9554609506054577e-08,5.1442041184269977e-05,-3.7786787395188703e-05,5.1442041184269977e-05,5.368458733144709e-07,0.0,6.08326070881602e-07,-5.090519531095551e-05,3.354403445146556e-06,5.1442041184269977e-05,-4.808763773912342e-05,1.3655253788790429e-05,5.1442041184269977e-05,-3.778678739547955e-05,0.9999446667094973,0.9998937615141864,-4.562498156709064
pccv2_n01_distractors_r08,1.0,0.0028061870492072,0.0010121180349245,0.9997353560444212,0.9996969820417324,0.9994010270185452,0.9579367611927124,0.0002959550231871,0.9996969820417324,1.4589361330107315e-06,8.848894952335975e-07,3.465277053206693e-07,5.041948361689197e-07,1.873311076109907e-06,9.41959964430786e-07,1.7424507287704137e-07,1.537707371046161e-07,1.1975677047054217e-07,4.17992200420231e-07,8.230754440703493e-08,2.0810606259555932e-08,3.4310889196295084e-08,4.992204920852576e-08,0.0002959550231871,-0.0002646439555787916,0.0002959550231871,1.4589361330107315e-06,0.0,8.848894952335975e-07,-0.0002944960870540893,7.062935080218455e-06,0.0002959550231871,-0.00028889208810688156,3.1311067608726525e-05,0.0002959550231871,-0.0002646439555783735,0.9996955231055994,0.9994010270185453,-5.312499317947833
pccv2_n01_distractors_r09,1.0,0.0127120075386373,0.0045848875589337,0.9983500846836304,0.9982876498603418,0.9965869472581343,0.9698258408594588,0.0017007026022073,0.9982876498603418,1.757331982902702e-06,1.650860620438706e-06,8.836420139817683e-07,8.836420139817683e-07,3.4948719608939507e-06,1.5508400317244797e-06,3.683567946212247e-07,3.250737302992207e-07,1.7399942925395786e-07,3.683567946212247e-07,8.219151057559615e-08,2.5066994459889624e-08,3.647226172942141e-08,4.68313110646647e-08,0.0017007026022073,-0.001649915316369599,0.0017007026022073,1.757331982902702e-06,0.0,1.650860620438706e-06,-0.0016989452702243972,1.1647537450548576e-05,0.0017007026022073,-0.0016890550647567515,5.0787285837947346e-05,0.0017007026022073,-0.0016499153163693527,0.9982858925283589,0.9965869472581345,-6.874999431543706
pccv2_n01_distractors_r10,1.0,0.0004066494107473,0.0001466677720663,1.0000090603870602,0.9999672345685447,0.9999429345335128,0.9828833522475088,2.430003503210853e-05,0.9999672345685447,1.7602886336497408e-06,1.4593305336976263e-06,5.714820481772466e-07,6.475739988475084e-07,1.994668342171321e-06,1.3709141663181113e-06,1.3573888418140968e-07,1.1253148745570558e-07,1.057135492937206e-07,1.7429217732176361e-07,5.6584385408769576e-08,1.5229480727855237e-08,2.672857107450945e-08,3.4320164611414916e-08,2.430003503210853e-05,9.060387060166875e-06,2.430003503210853e-05,1.7602886336497408e-06,0.0,1.4593305336976263e-06,-2.253974639845879e-05,8.465396422936704e-06,2.430003503210853e-05,-1.5834638609171825e-05,3.336042209226784e-05,2.430003503210853e-05,9.060387060159312e-06,0.9999654742799111,0.9999429345335127,-2.6249994730637107
