sample_id,ground_truth,condition,replicate,layer,head,head_name,alpha,baseline_best_numeral,modulated_best_numeral,baseline_correct,modulated_correct,baseline_gt_logp,modulated_gt_logp,delta_gt_logp,baseline_margin,modulated_margin,delta_margin,baseline_entropy,modulated_entropy,delta_entropy,baseline_entropy_norm,modulated_entropy_norm,delta_entropy_norm,baseline_expected_numeral,modulated_expected_numeral,response_expected_numeral_shift,baseline_top1_prob,modulated_top1_prob,baseline_conditional_margin,modulated_conditional_margin,baseline_vocab_numeral_mass,modulated_vocab_numeral_mass,delta_vocab_numeral_mass,response_l1,response_l2,response_tv,response_js,numeral_changed,hook_calls,baseline_numprob_1,modulated_numprob_1,delta_numprob_1,baseline_numprob_2,modulated_numprob_2,delta_numprob_2,baseline_numprob_3,modulated_numprob_3,delta_numprob_3,baseline_numprob_4,modulated_numprob_4,delta_numprob_4,baseline_numprob_5,modulated_numprob_5,delta_numprob_5,baseline_numprob_6,modulated_numprob_6,delta_numprob_6,baseline_numprob_7,modulated_numprob_7,delta_numprob_7,baseline_numprob_8,modulated_numprob_8,delta_numprob_8,baseline_numprob_9,modulated_numprob_9,delta_numprob_9,baseline_numprob_10,modulated_numprob_10,delta_numprob_10
pccv1_n01_dense_r03,1,dense,3,18,13,L18H13,0.5,1,1,True,True,-0.0019714459776878357,-0.0021773697808384895,-0.00020592380315065384,13.5625,13.4375,-0.125,3.669368046259966e-05,4.0151781707750216e-05,3.458101245150555e-06,1.5935862945628193e-05,1.7437697234259842e-05,1.5018342886316499e-06,1.0000057233339352,1.0000062062047648,4.828708295434581e-07,0.9999976282995325,0.9999973835631667,0.9999963404057127,0.9999959241886343,0.9980328507578093,0.9978276372650807,-0.00020521349272861755,4.89472731452702e-07,3.0041708892082403e-07,2.44736365726351e-07,3.3006569631452965e-09,False,1,0.9999976282995325,0.9999973835631667,-2.4473636583977054e-07,1.2878938198264184e-06,1.4593745324876778e-06,1.7148071266125944e-07,3.4663191915716193e-07,3.689876669219253e-07,2.2355747764763364e-08,1.5381698171423294e-07,1.637372846496978e-07,9.920302935464864e-09,1.6373732472227065e-07,1.7429743222785959e-07,1.0560107505588938e-08,1.8553869621834163e-07,1.975048657025191e-07,1.1966169484177473e-08,1.1253490781953263e-07,1.19792756491004e-07,7.2578486714713556e-09,2.2159437217693725e-08,2.5109925858733024e-08,2.950488641039299e-09,2.6729383482127266e-08,3.028835213152187e-08,3.558968649394603e-09,7.26579974053799e-08,7.734401670515203e-08,4.686019299772129e-09
pccv1_n01_dense_r03,1,dense,3,18,13,L18H13,1.5,1,1,True,True,-0.0019714459776878357,-0.0017838055500760674,0.00018764042761176825,13.5625,13.5,-0.0625,3.669368046259966e-05,3.8113017060171925e-05,1.4193365975722646e-06,1.5935862945628193e-05,1.6552272997917163e-05,6.164100522889706e-07,1.0000057233339352,1.0000057863745482,6.304061295203667e-08,0.9999976282995325,0.9999975248629341,0.9999963404057127,0.9999961539072411,0.9980328507578093,0.9982202322485243,0.00018738149071495513,2.5179626308238207e-07,1.3601598146518406e-07,1.2589813154119103e-07,1.158871173737809e-09,False,1,0.9999976282995325,0.9999975248629341,-1.0343659839762154e-07,1.2878938198264184e-06,1.3709556930724338e-06,8.30618732460154e-08,3.4663191915716193e-07,3.6898771905993325e-07,2.235579990277132e-08,1.5381698171423294e-07,1.637373077857986e-07,9.920326071565645e-09,1.6373732472227065e-07,1.7429745685611068e-07,1.0560132133840032e-08,1.8553869621834163e-07,1.7429745685611068e-07,-1.1241239362230948e-08,1.1253490781953263e-07,1.0571675149317108e-07,-6.818156326361555e-09,2.2159437217693725e-08,2.215943492559148e-08,-2.292102244026279e-15,2.6729383482127266e-08,2.6729380717324204e-08,-2.7648030621642893e-15,7.26579974053799e-08,6.825586482030956e-08,-4.402132585070344e-09
pccv1_n01_dense_r04,1,dense,4,18,13,L18H13,1.0,1,1,True,True,-0.0024556738790124655,-0.0024556738790124655,0.0,13.3125,13.3125,0.0,4.116766102088035e-05,4.116766102088035e-05,0.0,1.7878888014231925e-05,1.7878888014231925e-05,0.0,1.0000058374119014,1.0000058374119014,0.0,0.9999972882997766,0.9999972882997766,0.9999956346119402,0.9999956346119402,0.9975500335289471,0.9975500335289471,0.0,0.0,0.0,0.0,0.0,False,0,0.9999972882997766,0.9999972882997766,0.0,1.6536878363971984e-06,1.6536878363971984e-06,0.0,3.689876317708173e-07,3.689876317708173e-07,0.0,1.5381692941637266e-07,1.5381692941637266e-07,0.0,1.5381692941637266e-07,1.5381692941637266e-07,0.0,1.7429741562365187e-07,1.7429741562365187e-07,0.0,9.931167381734409e-08,9.931167381734409e-08,0.0,2.0816857709150857e-08,2.0816857709150857e-08,0.0,2.6729374394121854e-08,2.6729374394121854e-08,0.0,6.023557503759957e-08,6.023557503759957e-08,0.0
pccv1_n01_dense_r04,1,dense,4,18,13,L18H13,0.5,1,1,True,True,-0.0024556738790124655,-0.002667442662641406,-0.00021176878362894058,13.3125,13.25,-0.0625,4.116766102088035e-05,4.403691570485008e-05,2.8692546839697306e-06,1.7878888014231925e-05,1.9124989490655036e-05,1.2461014764231112e-06,1.0000058374119014,1.0000063665306214,5.291187199496505e-07,0.9999972882997766,0.9999970886558708,0.9999956346119402,0.9999953283146836,0.9975500335289471,0.997338993208162,-0.00021104032078511636,3.9928781124021936e-07,2.2975640317344653e-07,1.9964390562010968e-07,1.934113755134798e-09,False,1,0.9999972882997766,0.9999970886558708,-1.9964390585158753e-07,1.6536878363971984e-06,1.760341187182268e-06,1.0665335078506968e-07,3.689876317708173e-07,3.9278521101185656e-07,2.379757924103926e-08,1.5381692941637266e-07,1.6373723636225163e-07,9.920306945878963e-09,1.5381692941637266e-07,1.6373723636225163e-07,9.920306945878963e-09,1.7429741562365187e-07,1.9750480745674085e-07,2.3207391833088978e-08,9.931167381734409e-08,1.1253484709063886e-07,1.3223173273294774e-08,2.0816857709150857e-08,2.215942525946552e-08,1.342567550314664e-09,2.6729374394121854e-08,3.028834319924247e-08,3.5589688051206175e-09,6.023557503759957e-08,6.825583504654552e-08,8.020260008945944e-09
pccv1_n01_dense_r04,1,dense,4,18,13,L18H13,1.5,1,1,True,True,-0.0024556738790124655,-0.0020016650669276714,0.00045400881208479404,13.3125,13.375,0.0625,4.116766102088035e-05,3.8811589929629796e-05,-2.356071091250551e-06,1.7878888014231925e-05,1.6855659340330035e-05,-1.0232286739018901e-06,1.0000058374119014,1.0000054754481897,-3.6196371167029895e-07,0.9999972882997766,0.9999974537777816,0.9999956346119402,0.9999959002815692,0.9975500335289471,0.9980028649096564,0.0004528313807092843,3.309560103442325e-07,1.9561302223195224e-07,1.6547800517211626e-07,1.3116746060990437e-09,False,1,0.9999972882997766,0.9999974537777816,1.6547800496535814e-07,1.6536878363971984e-06,1.5534962123973909e-06,-1.0019162399980753e-07,3.689876317708173e-07,3.4663185866220897e-07,-2.2355773108608327e-08,1.5381692941637266e-07,1.444976566868437e-07,-9.319272729528976e-09,1.5381692941637266e-07,1.444976566868437e-07,-9.319272729528976e-09,1.7429741562365187e-07,1.6373729614647828e-07,-1.0560119477173594e-08,9.931167381734409e-08,9.329469911214407e-08,-6.016974705200012e-09,2.0816857709150857e-08,1.8370815489843524e-08,-2.446042219307333e-09,2.6729374394121854e-08,2.5109927621821413e-08,-1.6194467723004407e-09,6.023557503759957e-08,5.658609540018038e-08,-3.6494796374191917e-09
pccv1_n01_dense_r05,1,dense,5,18,13,L18H13,1.0,1,1,True,True,-0.0032500799279659986,-0.0032500799279659986,0.0,12.9375,12.9375,0.0,6.273154813309067e-05,6.273154813309067e-05,0.0,2.724396519544951e-05,2.724396519544951e-05,0.0,1.0000093841991853,1.0000093841991853,0.0,0.9999957643191623,0.9999957643191623,0.9999933582212247,0.9999933582212247,0.9967594046977446,0.9967594046977446,0.0,0.0,0.0,0.0,0.0,False,0,0.9999957643191623,0.9999957643191623,0.0,2.4060979375543278e-06,2.4060979375543278e-06,0.0,6.475924745775672e-07,6.475924745775672e-07,0.0,3.0590102479722864e-07,3.0590102479722864e-07,0.0,2.6995670688100774e-07,2.6995670688100774e-07,0.0,3.0590102479722864e-07,3.0590102479722864e-07,0.0,1.4449741256341054e-07,1.4449741256341054e-07,0.0,3.432114378923561e-08,3.432114378923561e-08,0.0,4.406922095517315e-08,4.406922095517315e-08,0.0,7.734389146598902e-08,7.734389146598902e-08,0.0
pccv1_n01_dense_r05,1,dense,5,18,13,L18H13,0.5,1,1,True,True,-0.0032500799279659986,-0.0032133632339537144,3.671669401228428e-05,12.9375,12.9375,0.0,6.273154813309067e-05,6.334864501386986e-05,6.170968807791942e-07,2.724396519544951e-05,2.7511966965571627e-05,2.68001770122116e-07,1.0000093841991853,1.0000096093780375,2.2517885223116707e-07,0.9999957643191623,0.9999957251890554,0.9999933582212247,0.999993319091212,0.9967594046977446,0.9967960411094872,3.663641174256327e-05,7.82605007843561e-08,4.4440866621293873e-08,3.913025039217805e-08,3.4131630173343026e-10,False,1,0.9999957643191623,0.9999957251890554,-3.9130106821438915e-08,2.4060979375543278e-06,2.4060978434030594e-06,-9.415126835514453e-14,6.475924745775672e-07,6.475924492370971e-07,-2.5340470066033893e-14,3.0590102479722864e-07,3.0590101282723813e-07,-1.1969990513241652e-14,2.6995670688100774e-07,2.873674073777801e-07,1.7410700496772376e-08,3.0590102479722864e-07,3.0590101282723813e-07,-1.1969990513241652e-14,1.4449741256341054e-07,1.538166889828292e-07,9.319276419418661e-09,3.432114378923561e-08,3.889094947044294e-08,4.56980568120733e-09,4.406922095517315e-08,4.6911439679951146e-08,2.8422187247779985e-09,7.734389146598902e-08,8.233214067501039e-08,4.9882492090213755e-09
pccv1_n01_dense_r05,1,dense,5,18,13,L18H13,1.5,1,1,True,True,-0.0032500799279659986,-0.002668274799361825,0.0005818051286041737,12.9375,13.0,0.0625,6.273154813309067e-05,5.736374005499882e-05,-5.367808078091845e-06,2.724396519544951e-05,2.4912755767218527e-05,-2.3312094282309847e-06,1.0000093841991853,1.0000082736583689,-1.1105408164180375e-06,0.9999957643191623,0.9999961400753351,0.9999933582212247,0.9999938797546528,0.9967594046977446,0.997339104799952,0.0005797001022074255,7.515123452011425e-07,4.1616747996601695e-07,3.7575617260057125e-07,5.392272077690455e-09,False,1,0.9999957643191623,0.9999961400753351,3.7575617284346663e-07,2.4060979375543278e-06,2.2603206822798254e-06,-1.4577725527450233e-07,6.475924745775672e-07,5.714985676967399e-07,-7.609390688082726e-08,3.0590102479722864e-07,2.873675266030843e-07,-1.8533498194144324e-08,2.6995670688100774e-07,2.3823604717343775e-07,-3.172065970756998e-08,3.0590102479722864e-07,2.536009521306182e-07,-5.230007266661044e-08,1.4449741256341054e-07,1.1979260752977922e-07,-2.4704805033631327e-08,3.432114378923561e-08,2.8453238262053908e-08,-5.867905527181702e-09,4.406922095517315e-08,3.653468111554936e-08,-7.534539839623788e-09,7.734389146598902e-08,6.412036223240438e-08,-1.3223529233584633e-08
pccv1_n01_distractors_r00,1,distractors,0,18,13,L18H13,1.0,1,1,True,True,-0.04321913421154022,-0.04321913421154022,0.0,11.875,11.875,0.0,0.00020052157885781072,0.00020052157885781072,0.0,8.708541520047495e-05,8.708541520047495e-05,0.0,1.0000636671688148,1.0000636671688148,0.0,0.9999854201764364,0.9999854201764364,0.9999784579732222,0.9999784579732222,0.9577154675530792,0.9577154675530792,0.0,0.0,0.0,0.0,0.0,False,0,0.9999854201764364,0.9999854201764364,0.0,1.4593570733800808e-06,1.4593570733800808e-06,0.0,1.4593570733800808e-06,1.4593570733800808e-06,0.0,8.315165955615553e-07,8.315165955615553e-07,0.0,1.0676884430986983e-06,1.0676884430986983e-06,0.0,6.962203214313482e-06,6.962203214313482e-06,0.0,2.260296451777105e-06,2.260296451777105e-06,0.0,2.699539143984739e-07,2.699539143984739e-07,0.0,1.6373532579211415e-07,1.6373532579211415e-07,0.0,1.0571547182186934e-07,1.0571547182186934e-07,0.0
pccv1_n01_distractors_r00,1,distractors,0,18,13,L18H13,0.5,1,1,True,True,-0.04321913421154022,-0.043429408222436905,-0.00021027401089668274,11.875,11.8125,-0.0625,0.00020052157885781072,0.00020671444353392003,6.192864676109303e-06,8.708541520047495e-05,8.977494215648279e-05,2.689526956007842e-06,1.0000636671688148,1.0000664433956503,2.7762268355324693e-06,0.9999854201764364,0.9999849128617414,0.9999784579732222,0.9999775016387578,0.9577154675530792,0.9575146058956463,-0.00020086165743293805,1.191470671921274e-06,6.890369923011611e-07,5.95735335960637e-07,5.3440835276110174e-09,False,1,0.9999854201764364,0.9999849128617414,-5.073146950307361e-07,1.4593570733800808e-06,1.3709384025348012e-06,-8.841867084527963e-08,1.4593570733800808e-06,1.4593563330159978e-06,-7.403640830678219e-13,8.315165955615553e-07,8.851443594200027e-07,5.362776385844748e-08,1.0676884430986983e-06,1.1365478549330729e-06,6.88594118343746e-08,6.962203214313482e-06,7.4112229836177576e-06,4.490197693042757e-07,2.260296451777105e-06,2.2602953050787813e-06,-1.146698323741571e-12,2.699539143984739e-07,2.873643002540298e-07,1.7410385855555914e-08,1.6373532579211415e-07,1.6373524272556618e-07,-8.30665479739786e-14,1.0571547182186934e-07,1.1253347688551917e-07,6.818005063649834e-09
pccv1_n01_distractors_r00,1,distractors,0,18,13,L18H13,1.5,1,1,True,True,-0.04321913421154022,-0.038218241184949875,0.005000893026590347,11.875,11.9375,0.0625,0.00020052157885781072,0.0001863140351528575,-1.4207543704953233e-05,8.708541520047495e-05,8.091515736801449e-05,-6.170257832460464e-06,1.0000636671688148,1.0000594186720289,-4.2484967859302e-06,0.9999854201764364,0.9999865169572367,0.9999784579732222,0.9999799765654178,0.9577154675530792,0.9625158148229929,0.00480034726991363,2.193561600408755e-06,1.213487869839045e-06,1.0967808002043775e-06,1.2005943860382273e-08,False,1,0.9999854201764364,0.9999865169572367,1.0967808002915191e-06,1.4593570733800808e-06,1.287879509563406e-06,-1.7147756381667486e-07,1.4593570733800808e-06,1.287879509563406e-06,-1.7147756381667486e-07,8.315165955615553e-07,7.338116248721132e-07,-9.770497068944211e-08,1.0676884430986983e-06,1.0030015705495973e-06,-6.468687254910098e-08,6.962203214313482e-06,6.540391818960948e-06,-4.2181139535253413e-07,2.260296451777105e-06,2.1233543415160363e-06,-1.3694211026106867e-07,2.699539143984739e-07,2.535985116892861e-07,-1.635540270918783e-08,1.6373532579211415e-07,1.5381527259704468e-07,-9.92005319506947e-09,1.0571547182186934e-07,9.931060409438643e-08,-6.404867727482906e-09
