sample_id,ground_truth,condition,baseline_pred,baseline_error,repairable,n_successful_alphas,successful_alphas,oracle_alpha,oracle_pred,oracle_correct
pccv2_n05_distractors_r10,5,distractors,6,1,True,2,"0.0,0.25",0.25,5,True
pccv2_n05_distractors_r11,5,distractors,6,1,False,0,,1.0,6,False
pccv2_n05_distractors_r15,5,distractors,6,1,True,2,"0.0,0.25",0.25,5,True
pccv2_n05_distractors_r16,5,distractors,6,1,True,3,"0.0,0.25,0.5",0.5,5,True
pccv2_n05_distractors_r17,5,distractors,6,1,False,0,,1.0,6,False
pccv2_n05_distractors_r19,5,distractors,6,1,True,4,"0.0,0.25,0.5,0.75",0.75,5,True
pccv2_n05_grid_r01,5,grid,4,-1,False,0,,1.0,4,False
pccv2_n05_grid_r02,5,grid,4,-1,False,0,,1.0,4,False
pccv2_n05_grid_r03,5,grid,4,-1,False,0,,1.0,4,False
pccv2_n05_grid_r04,5,grid,4,-1,False,0,,1.0,4,False
pccv2_n05_grid_r05,5,grid,4,-1,True,5,"1.25,1.5,2.0,3.0,4.0",1.25,5,True
pccv2_n05_grid_r06,5,grid,4,-1,True,3,"2.0,3.0,4.0",2.0,5,True
pccv2_n05_grid_r08,5,grid,4,-1,True,2,"3.0,4.0",3.0,5,True
pccv2_n05_grid_r10,5,grid,4,-1,True,3,"2.0,3.0,4.0",2.0,5,True
pccv2_n05_grid_r12,5,grid,4,-1,False,0,,1.0,4,False
pccv2_n05_grid_r13,5,grid,4,-1,False,0,,1.0,4,False
pccv2_n05_grid_r15,5,grid,4,-1,False,0,,1.0,4,False
pccv2_n05_grid_r19,5,grid,4,-1,True,1,4.0,4.0,5,True
pccv2_n05_row_r01,5,row,4,-1,False,0,,1.0,4,False
pccv2_n05_row_r02,5,row,4,-1,False,0,,1.0,4,False
pccv2_n05_row_r03,5,row,4,-1,True,2,"3.0,4.0",3.0,5,True
pccv2_n05_row_r06,5,row,4,-1,True,2,"3.0,4.0",3.0,5,True
pccv2_n05_row_r08,5,row,4,-1,False,0,,1.0,4,False
pccv2_n05_row_r09,5,row,4,-1,True,2,"3.0,4.0",3.0,5,True
pccv2_n05_row_r11,5,row,4,-1,True,3,"2.0,3.0,4.0",2.0,5,True
pccv2_n05_row_r12,5,row,4,-1,True,2,"3.0,4.0",3.0,5,True
pccv2_n05_row_r13,5,row,4,-1,False,0,,1.0,4,False
pccv2_n05_row_r14,5,row,4,-1,False,0,,1.0,4,False
pccv2_n05_row_r15,5,row,4,-1,False,0,,1.0,4,False
pccv2_n05_row_r16,5,row,4,-1,True,1,4.0,4.0,5,True
pccv2_n05_row_r17,5,row,4,-1,False,0,,1.0,4,False
pccv2_n05_row_r18,5,row,4,-1,True,1,4.0,4.0,5,True
pccv2_n05_row_r19,5,row,4,-1,True,4,"1.5,2.0,3.0,4.0",1.5,5,True
pccv2_n06_dense_r00,6,dense,5,-1,False,0,,1.0,5,False
pccv2_n06_dense_r01,6,dense,5,-1,True,1,4.0,4.0,6,True
pccv2_n06_dense_r03,6,dense,5,-1,True,1,4.0,4.0,6,True
pccv2_n06_dense_r05,6,dense,5,-1,True,4,"1.5,2.0,3.0,4.0",1.5,6,True
pccv2_n06_dense_r06,6,dense,5,-1,False,0,,1.0,5,False
pccv2_n06_dense_r07,6,dense,5,-1,True,2,"3.0,4.0",3.0,6,True
pccv2_n06_dense_r09,6,dense,5,-1,True,2,"3.0,4.0",3.0,6,True
pccv2_n06_dense_r11,6,dense,5,-1,False,0,,1.0,5,False
pccv2_n06_dense_r12,6,dense,5,-1,False,0,,1.0,5,False
pccv2_n06_dense_r14,6,dense,5,-1,False,0,,1.0,5,False
pccv2_n06_dense_r15,6,dense,5,-1,False,0,,1.0,5,False
pccv2_n06_dense_r16,6,dense,5,-1,True,4,"1.5,2.0,3.0,4.0",1.5,6,True
pccv2_n06_dense_r17,6,dense,5,-1,False,0,,1.0,5,False
pccv2_n06_dense_r19,6,dense,5,-1,False,0,,1.0,5,False
pccv2_n06_distractors_r05,6,distractors,7,1,True,3,"0.0,0.25,0.5",0.5,6,True
pccv2_n06_distractors_r09,6,distractors,7,1,True,4,"0.0,0.25,0.5,0.75",0.75,6,True
pccv2_n06_distractors_r12,6,distractors,7,1,True,1,0.0,0.0,6,True
pccv2_n06_distractors_r19,6,distractors,5,-1,True,2,"3.0,4.0",3.0,6,True
pccv2_n06_grid_r00,6,grid,5,-1,True,5,"1.25,1.5,2.0,3.0,4.0",1.25,6,True
pccv2_n06_grid_r08,6,grid,5,-1,True,3,"2.0,3.0,4.0",2.0,6,True
pccv2_n06_grid_r10,6,grid,5,-1,True,3,"2.0,3.0,4.0",2.0,6,True
pccv2_n06_grid_r12,6,grid,5,-1,True,1,4.0,4.0,6,True
pccv2_n06_grid_r17,6,grid,5,-1,True,4,"1.5,2.0,3.0,4.0",1.5,6,True
pccv2_n06_random_sparse_r07,6,random_sparse,5,-1,True,2,"3.0,4.0",3.0,6,True
pccv2_n06_random_sparse_r12,6,random_sparse,5,-1,True,2,"3.0,4.0",3.0,6,True
pccv2_n06_random_sparse_r15,6,random_sparse,5,-1,True,2,"3.0,4.0",3.0,6,True
pccv2_n06_random_sparse_r18,6,random_sparse,5,-1,True,3,"2.0,3.0,4.0",2.0,6,True
pccv2_n06_row_r00,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r01,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r02,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r03,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r04,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r05,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r06,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r07,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r08,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r09,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r10,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r11,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r12,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r13,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r14,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r15,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r16,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r17,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r18,6,row,5,-1,False,0,,1.0,5,False
pccv2_n06_row_r19,6,row,5,-1,False,0,,1.0,5,False
pccv2_n07_dense_r00,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r01,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r02,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r03,7,dense,6,-1,True,1,4.0,4.0,7,True
pccv2_n07_dense_r04,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r05,7,dense,6,-1,True,3,"2.0,3.0,4.0",2.0,7,True
pccv2_n07_dense_r06,7,dense,6,-1,True,2,"3.0,4.0",3.0,7,True
pccv2_n07_dense_r07,7,dense,6,-1,True,1,4.0,4.0,7,True
pccv2_n07_dense_r08,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r09,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r10,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r11,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r12,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r13,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r14,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r15,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r16,7,dense,6,-1,True,2,"3.0,4.0",3.0,7,True
pccv2_n07_dense_r17,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r18,7,dense,6,-1,False,0,,1.0,6,False
pccv2_n07_dense_r19,7,dense,6,-1,True,1,4.0,4.0,7,True
pccv2_n07_distractors_r02,7,distractors,6,-1,True,4,"1.25,1.5,2.0,3.0",1.25,7,True
pccv2_n07_distractors_r04,7,distractors,8,1,False,0,,1.0,8,False
pccv2_n07_distractors_r05,7,distractors,8,1,True,2,"0.0,0.25",0.25,7,True
pccv2_n07_distractors_r07,7,distractors,6,-1,True,2,"3.0,4.0",3.0,7,True
pccv2_n07_distractors_r14,7,distractors,8,1,True,3,"0.0,0.25,0.5",0.5,7,True
pccv2_n07_distractors_r16,7,distractors,8,1,False,0,,1.0,8,False
pccv2_n07_distractors_r17,7,distractors,8,1,False,0,,1.0,8,False
pccv2_n07_distractors_r18,7,distractors,6,-1,True,2,"2.0,3.0",2.0,7,True
pccv2_n07_distractors_r19,7,distractors,5,-2,False,0,,1.0,5,False
pccv2_n07_grid_r00,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r01,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r02,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r03,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r04,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r05,7,grid,6,-1,True,2,"3.0,4.0",3.0,7,True
pccv2_n07_grid_r06,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r07,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r08,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r09,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r10,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r11,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r12,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r13,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r14,7,grid,6,-1,True,1,4.0,4.0,7,True
pccv2_n07_grid_r15,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r16,7,grid,6,-1,True,1,4.0,4.0,7,True
pccv2_n07_grid_r17,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r18,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_grid_r19,7,grid,6,-1,False,0,,1.0,6,False
pccv2_n07_random_sparse_r00,7,random_sparse,6,-1,True,1,4.0,4.0,7,True
pccv2_n07_random_sparse_r01,7,random_sparse,6,-1,True,3,"2.0,3.0,4.0",2.0,7,True
pccv2_n07_random_sparse_r02,7,random_sparse,6,-1,True,1,4.0,4.0,7,True
pccv2_n07_random_sparse_r03,7,random_sparse,6,-1,True,2,"3.0,4.0",3.0,7,True
pccv2_n07_random_sparse_r04,7,random_sparse,6,-1,True,2,"3.0,4.0",3.0,7,True
pccv2_n07_random_sparse_r05,7,random_sparse,6,-1,False,0,,1.0,6,False
pccv2_n07_random_sparse_r06,7,random_sparse,6,-1,True,1,4.0,4.0,7,True
pccv2_n07_random_sparse_r07,7,random_sparse,6,-1,False,0,,1.0,6,False
pccv2_n07_random_sparse_r08,7,random_sparse,6,-1,False,0,,1.0,6,False
pccv2_n07_random_sparse_r09,7,random_sparse,6,-1,True,1,4.0,4.0,7,True
pccv2_n07_random_sparse_r10,7,random_sparse,6,-1,False,0,,1.0,6,False
pccv2_n07_random_sparse_r11,7,random_sparse,6,-1,True,3,"2.0,3.0,4.0",2.0,7,True
pccv2_n07_random_sparse_r12,7,random_sparse,6,-1,False,0,,1.0,6,False
pccv2_n07_random_sparse_r13,7,random_sparse,6,-1,True,1,4.0,4.0,7,True
pccv2_n07_random_sparse_r14,7,random_sparse,6,-1,True,1,4.0,4.0,7,True
pccv2_n07_random_sparse_r15,7,random_sparse,6,-1,True,1,4.0,4.0,7,True
pccv2_n07_random_sparse_r16,7,random_sparse,6,-1,False,0,,1.0,6,False
pccv2_n07_random_sparse_r17,7,random_sparse,6,-1,True,3,"2.0,3.0,4.0",2.0,7,True
pccv2_n07_random_sparse_r18,7,random_sparse,6,-1,True,2,"3.0,4.0",3.0,7,True
pccv2_n07_random_sparse_r19,7,random_sparse,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r00,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r01,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r02,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r03,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r04,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r05,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r06,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r07,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r08,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r09,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r10,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r11,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r12,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r13,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r14,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r15,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r16,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r17,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r18,7,row,6,-1,False,0,,1.0,6,False
pccv2_n07_row_r19,7,row,6,-1,False,0,,1.0,6,False
pccv2_n08_dense_r00,8,dense,6,-2,False,0,,1.0,6,False
pccv2_n08_dense_r01,8,dense,6,-2,False,0,,1.0,6,False
pccv2_n08_dense_r02,8,dense,6,-2,False,0,,1.0,6,False
pccv2_n08_dense_r03,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r04,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r05,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r06,8,dense,6,-2,False,0,,1.0,6,False
pccv2_n08_dense_r07,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r08,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r09,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r10,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r11,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r12,8,dense,6,-2,False,0,,1.0,6,False
pccv2_n08_dense_r13,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r14,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r15,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r16,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r17,8,dense,6,-2,False,0,,1.0,6,False
pccv2_n08_dense_r18,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_dense_r19,8,dense,7,-1,False,0,,1.0,7,False
pccv2_n08_distractors_r01,8,distractors,9,1,True,4,"0.0,0.25,0.5,0.75",0.75,8,True
pccv2_n08_distractors_r02,8,distractors,9,1,False,0,,1.0,9,False
pccv2_n08_distractors_r06,8,distractors,9,1,True,4,"0.0,0.25,0.5,0.75",0.75,8,True
pccv2_n08_distractors_r11,8,distractors,7,-1,True,4,"1.25,1.5,2.0,3.0",1.25,8,True
pccv2_n08_distractors_r17,8,distractors,9,1,True,4,"0.0,0.25,0.5,0.75",0.75,8,True
pccv2_n08_distractors_r18,8,distractors,7,-1,True,4,"1.25,1.5,2.0,3.0",1.25,8,True
pccv2_n08_grid_r00,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r01,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r02,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r03,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r04,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r05,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r06,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r07,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r08,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r09,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r10,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r11,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r12,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r13,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r14,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r15,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r16,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r17,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r18,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_grid_r19,8,grid,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r00,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r01,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r02,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r03,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r04,8,random_sparse,7,-1,True,1,4.0,4.0,8,True
pccv2_n08_random_sparse_r05,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r06,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r07,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r08,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r09,8,random_sparse,6,-2,False,0,,1.0,6,False
pccv2_n08_random_sparse_r10,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r11,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r12,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r13,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r14,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r15,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r16,8,random_sparse,7,-1,True,1,4.0,4.0,8,True
pccv2_n08_random_sparse_r17,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r18,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_random_sparse_r19,8,random_sparse,7,-1,False,0,,1.0,7,False
pccv2_n08_row_r00,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r01,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r02,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r03,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r04,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r05,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r06,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r07,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r08,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r09,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r10,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r11,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r12,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r13,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r14,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r15,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r16,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r17,8,row,7,-1,False,0,,1.0,7,False
pccv2_n08_row_r18,8,row,6,-2,False,0,,1.0,6,False
pccv2_n08_row_r19,8,row,6,-2,False,0,,1.0,6,False
pccv2_n09_dense_r00,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r01,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r02,9,dense,8,-1,False,0,,1.0,8,False
pccv2_n09_dense_r03,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r04,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r05,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r06,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r07,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r08,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r09,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r10,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r11,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r12,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r13,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r14,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r15,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r16,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r17,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r18,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_dense_r19,9,dense,7,-2,False,0,,1.0,7,False
pccv2_n09_distractors_r00,9,distractors,8,-1,True,2,"3.0,4.0",3.0,9,True
pccv2_n09_distractors_r03,9,distractors,8,-1,True,2,"3.0,4.0",3.0,9,True
pccv2_n09_distractors_r04,9,distractors,8,-1,True,4,"1.25,1.5,2.0,3.0",1.25,9,True
pccv2_n09_distractors_r05,9,distractors,8,-1,True,3,"1.5,2.0,3.0",1.5,9,True
pccv2_n09_distractors_r06,9,distractors,8,-1,True,2,"2.0,3.0",2.0,9,True
pccv2_n09_distractors_r10,9,distractors,8,-1,True,2,"2.0,3.0",2.0,9,True
pccv2_n09_distractors_r11,9,distractors,8,-1,True,2,"2.0,3.0",2.0,9,True
